upload,uploads,uploading,uploaded
array,arrays,arraying,arrayed
intone,intones,intoning,intoned
engineer,engineers,engineering,engineered
unpeople,unpeoples,unpeopling,unpeopled
district,districts,districting,districted
carbonate,carbonates,carbonating,carbonated
plank,planks,planking,planked
assort,assorts,assorting,assorted
persecute,persecutes,persecuting,persecuted
crosscheck,crosschecks,crosschecking,crosschecked
unfrock,unfrocks,unfrocking,unfrocked
holden,holdens,holdening,holdened
neologize,neologizes,neologizing,neologized
cope,copes,coping,coped
hum,hums,humming,hummed
indoctrinate,indoctrinates,indoctrinating,indoctrinated
wax,waxes,waxing,waxed
grunt,grunts,grunting,grunted
specify,specifies,specifying,specified
bewitch,bewitches,bewitching,bewitched
defrock,defrocks,defrocking,defrocked
require,requires,requiring,required
sere,seres,sering,sered
ooze,oozes,oozing,oozed
posit,posits,positing,posited
collimate,collimates,collimating,collimated
poetize,poetizes,poetizing,poetized
depilate,depilates,depilating,depilated
rend,rends,rending,rent
froth,froths,frothing,frothed
liquidize,liquidizes,liquidizing,liquidized
stoush,stoushes,stoushing,stoushed
rent,rents,renting,rented
pry,pries,prying,pried
silhouette,silhouettes,silhouetting,silhouetted
acclimatize,acclimatises,acclimatizing,acclimatized
fracture,fractures,fracturing,fractured
paraphrase,paraphrases,paraphrasing,paraphrased
blunt,blunts,blunting,blunted
surf,surfs,surfing,surfed
urge,urges,urging,urged
biff,biffs,biffing,biffed
embitter,embitters,embittering,embittered
fritt,fritts,fritting,fritted
remunerate,remunerates,remunerating,remunerated
rematch,rematches,rematching,rematched
frig,frigs,frigging,frigged
fluoridize,fluoridizes,fluoridizing,fluoridized
saunter,saunters,sauntering,sauntered
annul,annuls,annulling,annulled
misfire,misfires,misfiring,misfired
adopt,adopts,adopting,adopted
calcify,calcifies,calcifying,calcified
incardinate,incardinates,incardinating,incardinated
readjust,readjusts,readjusting,readjusted
slope,slopes,sloping,sloped
perch,perches,perching,perched
forage,forages,foraging,foraged
cheat,cheats,cheating,cheated
reinvigorate,reinvigorates,reinvigorating,reinvigorated
trog,trogs,trogging,trogged
trespass,trespasses,trespassing,trespassed
hack,hacks,hacking,hacked
pustulate,pustulates,pustulating,pustulated
broach,broaches,broaching,broached
mister,misters,mistering,mistered
trot,trots,trotting,trotted
transistorize,transistorizes,transistorizing,transistorized
gulf,gulfs,gulfing,gulfed
gull,gulls,gulling,gulled
ventriloquize,ventriloquizes,ventriloquizing,ventriloquized
shimmer,shimmers,shimmering,shimmered
gulp,gulps,gulping,gulped
woof,woofs,woofing,woofed
wood,woods,wooding,wooded
partake,partakes,partaking,partook,partaken
deign,deigns,deigning,deigned
crimp,crimps,crimping,crimped
involute,involutes,involuting,involuted
reset,resets,resetting,reset
lighten,lightens,lightening,lightened
jazz,jazzes,jazzing,jazzed
festoon,festoons,festooning,festooned
tailor,tailors,tailoring,tailored
dye,dyes,dyeing,dyed
hedge,hedges,hedging,hedged
closure,closures,closuring,closured
reveal,reveals,revealing,revealed
pinnacle,pinnacles,pinnacling,pinnacled
outperform,outperforms,outperforming,outperformed
obliterate,obliterates,obliterating,obliterated
underplay,underplays,underplaying,underplayed
dawdle,dawdles,dawdling,dawdled
convolve,convolves,convolving,convolved
picnic,picnicking,picnicked
emote,emotes,emoting,emoted
prowl,prowls,prowling,prowled
westernize,westernizes,westernizing,westernized
sile,siles,siling,siled
scabble,scabbles,scabbling,scabbled
detect,detects,detecting,detected
emplace,emplaces,emplacing,emplaced
mortgage,mortgages,mortgaging,mortgaged
review,reviews,reviewing,reviewed
hiss,hisses,hissing,hissed
caucus,caucuses,caucusing,caucused
replevy,replevies,replevying,replevied
overcharge,overcharges,overcharging,overcharged
comb,combs,combing,combed
come,comes,coming,came,come
forfend,forfends,forfending,forfended
bemoan,bemoans,bemoaning,bemoaned
quiet,quiets,quieting,quieted
contract,contracts,contracting,contracted
re-afforest,re-afforests,re-afforesting,re-afforested,re-afforested
berry,berries,berrying,berried
railroad,railroads
cabal,cabals,caballing,caballed
pot,pots,potting,potted
insist,insists,insisting,insisted
pole,poles,poling,poled
pod,pods,podding,podded
poll,polls,polling,polled
blowdry,blowdries,blowdrying,blowdried
sypher,syphers,syphering,syphered
shroff,shroffs,shroffing,shroffed
anthologize,anthologizes,anthologizing,anthologized
umpire,umpires,umpiring,umpired
disembogue,disembogues,disemboguing,disembogued
reimburse,reimburses,reimbursing,reimbursed
catholicize,catholicizes,catholicizing,catholicized
borate,borates,borating,borated
padlock,padlocks,padlocking,padlocked
silk,silks,silking,silked
minister,ministers,ministering,ministered
dribble,dribbles,dribbling,dribbled
pilot,pilots,piloting,piloted
case,cases,casing,cased
shaft,shafts,shafting,shafted
hightail,hightails,hightailing,hightailed
amend,amends,amending,amended
mount,mounts,mounting,mounted
cash,cashes,cashing,cashed
cast,casts,casting,cast
Roneo,Roneos,Roneoing,Roneoed,Roneoed
embank,embanks,embanking,embanked
shingle,shingles,shingling,shingled
mound,mounds,mounding,mounded
vest,vests,vesting,vested
bemean,bemeans,bemeaning,bemeaned
contrive,contrives,contriving,contrived
telephone,telephones,telephoning,telephoned
parse,parses,parsing,parsed
big-note,big-notes,big-noting,big-noted,big-noted
clutter,clutters,cluttering,cluttered
saponify,saponifies,saponifying,saponified
reshape,reshapes,reshaping,reshaped
bowl,bowls,bowling,bowled
furl,furls,furling,furled
sucker,suckers,suckering,suckered
spatter,spatters,spattering,spattered
ween,weens,weening,weened
applaud,applauds,applauding,applauded
nest,nests,nesting,nested
weed,weeds,weeding,weeded
drivel,drivels,drivelling,drivelled
lute,lutes,luting,luted
stallfeed,stallfeeds,stallfeeding,stallfed
ragout,ragouts,ragouting,ragouted
weep,weeps,weeping,wept
minimize,minimizes,minimizing,minimized
ranch,ranches,ranching,ranched
communalize,communalizes,communalizing,communalized
co-edit,co-edits,co-editing,co-edited,co-edited
inbreathe,inbreathes,inbreathing,inbreathed
illume,illumes,illuming,illumed
model,models,modelling,modelled
retroject,retrojects,retrojecting,retrojected
justify,justifies,justifying,justified
clog,clogs,clogging,clogged
kilt,kilts,kilting,kilted
clot,clots,clotting,clotted
lavish,lavishes,lavishing,lavished
clop,clops,clopping,clopped
kiln,kilns,kilning,kilned
polish,polishes,polishing,polished
velarize,velarizes,velarizing,velarized
cloy,cloys,cloying,cloyed
rackrent,rackrents,rackrenting,rackrented
blow,blows,blowing,blew,blown
blot,blots,blotting,blotted
cofound,cofounds,cofounding,cofounded
hint,hints,hinting,hinted
except,excepts,excepting,excepted
enfilade,enfilades,enfilading,enfiladed
blob,blobs,blobbing,blobbed
hinder
backbite,backbites,backbiting,backbitten
disrupt,disrupts,disrupting,disrupted
impound,impounds,impounding,impounded
devest,devests,devesting,devested
snore,snores,snoring,snored
worst
shrink,shrinks,shrinking,shrunken
snort,snorts,snorting,snorted
deduct,deducts,deducting,deducted
subsidize,subsidizes,subsidizing,subsidized
interlock,interlocks,interlocking,interlocked
deduce,deduces,deducing,deduced
respect,respects,respecting,respected
slice,slices,slicing,sliced
overstay,overstays,overstaying,overstayed
renounce,renounces,renouncing,renounced
divvy,divvies,divvying,divvied
slick,slicks,slicking,slicked
jiggle,jiggles,jiggling,jiggled
moon,moons,mooning,mooned
fadeout
moor,moors,mooring,moored
moot,moots,mooting,mooted
stope,stopes,stoping,stoped
substantialize,substantializes,substantializing,substantialized
herringbone,herringbones,herringboning,herringboned
inspect,inspects,inspecting,inspected
communicate,communicates,communicating,communicated
slaughter,slaughters,slaughtering,slaughtered
update,updates,updating,updated
fantasize,fantasizes,fantasizing,fantasized
immigrate,immigrates,immigrating,immigrated
prattle,prattles,prattling,prattled
concuss,concusses,concussing,concussed
tread,treads,treading,trodden
chivy,chivvies,chivying,chivvied
jeer,jeers,jeering,jeered
shrimp,shrimps,shrimping,shrimped
stand,stands,standing,stood
equalize,equalizes,equalizing,equalized
doze,dozes,dozing,dozed
broddle,broddles,broddling,broddled
accredit,accredits,accrediting,accredited
undervalue,undervalues,undervaluing,undervalued
pickup
garner,garners,garnering,garnered
breakwater
forewarn,forewarns,forewarning,forewarned
determine,determines,determining,determined
syringe,syringing,syringed
abrogate,abrogates,abrogating,abrogated
weight,weights,weighting,weighted
backwater,backwaters,backwatering,backwatered
scry,scries,scrying,scried
ponce,ponces,poncing,ponced
deterge,deterges,deterging,deterged
expatriate,expatriates,expatriating,expatriated
condone,condones,condoning,condoned
fishes,fishes,fishing,fishesed
carouse,carouses,carousing,caroused
gibe,gibes,gibing,gibed
jug,jugs,jugging,jugged
winnow,winnows,winnowing,winnowed
roust,rousts,rousting,rousted
regard,regards,regarding,regarded
betoken,betokens,betokening,betokened
notate,notates,notating,notated
jut,juts,jutting,jutted
promote,promotes,promoting,promoted
emancipate,emancipates,emancipating,emancipated
scrouge,scrouges,scrouging,scrouged
demilitarize,demilitarizes,demilitarizing,demilitarized
fabricate,fabricates,fabricating,fabricated
wholesale,wholesales,wholesaling,wholesaled
excruciate,excruciates,excruciating,excruciated
incise,incises,incising,incised
nigrify,nigrifies,nigrifying,nigrified
grasp,grasps,grasping,grasped
grass,grasses,grassing,grassed
politick,politicks,politicking,politicked
tranquillize,tranquillizes,tranquillizing,tranquillized
taste,tastes,tasting,tasted
frighten,frightens,frightening,frightened
thrombose,thromboses,thrombosing,thrombosed
fossick,fossicks,fossicking,fossicked
trundle,trundles,trundling,trundled
encompass,encompasses,encompassing,encompassed
deraign,deraigns,deraigning,deraigned
wanton,wantons,wantoning,wantoned
deserve,deserves,deserving,deserved
compel,compels,compelling,compelled
rubber,rubbers,rubbering,rubbered
trash,trashes,trashing,trashed
sully,sullies,sullying,sullied
proliferate,proliferates,proliferating,proliferated
unbend,unbends,unbending,unbent
separate,separates,separating,separated
symbol,symbols,symbolling,symbolled
cove,coves,coving,coved
flocculate,flocculates,flocculating,flocculated
despoil,despoils,despoiling,despoiled
dishonour,dishonours,dishonouring,dishonoured
ferrule,ferrules,ferruling,ferruled
feudalize,feudalizes,feudalizing,feudalized
spouse,spouses,spousing,spoused
verjuice,verjuices,verjuicing,verjuiced
crossbred,crossbred
luxate,luxates,luxating,luxated
overblow,overblows,overblowing,overblew,overblown
invest,invests,investing,invested
curve,curves,curving,curved
lyse,lyses,lysing,lysed
wamble,wambles,wambling,wambled
philosophize,philosophizes,philosophizing,philosophized
derrick,derricks,derricking,derricked
fizzle,fizzles,fizzling,fizzled
enswathe,enswathes,enswathing,enswathed
lallygag,lallygags,lallygagging,lallygagged
adlib,adlibs,adlibbing,adlibbed
disc,discs,discing,disced
antagonize,antagonizes,antagonizing,antagonized
dish,dishes,dishing,dished
follow,follows,following,followed
alter
glimpse,glimpses,glimpsing,glimpsed
depressurize,depressurizes,depressurizing,depressurized
homage,homages,homaging,homaged
assuage,assuages,assuaging,assuaged
begird,begirds,begirding,begirt
precast,precasts,precasting,precast
defuze,defuzes,defuzing,defuzed
backslide,backslides,backsliding,backslidden
fay,fays,faying,fayed
disjoin,disjoins,disjoining,disjoined
induce,induces,inducing,induced
fan,fans,fanning,fanned
ticket,tickets,ticketing,ticketed
gainsay,gainsays,gainsaying,gainsaid
steeve,steeves,steeving,steeved
induct,inducts,inducting,inducted
lisp,lisps,lisping,lisped
list,lists,listing,listed
goster,gosters,gostering,gostered
intimidate,intimidates,intimidating,intimidated
programme,programs,programming,programmed
flick,flicks,flicking,flicked
ted,teds,tedding,tedded
tee,tees,teeing,teed
ripen,ripens,ripening,ripened
rate,rates,rating,rated
design,designs,designing,designed
canalize,canalizes,canalizing,canalized
overachieve,overachieves,overachieving,overachieved
paralyze,paralyzes,paralyzing,paralyzed
countermove,countermoves,countermoving,countermoved
sue,sues,suing,sued
prepossess,prepossesses,prepossessing,prepossessed
sub,subs,subbing,subbed
whap,whaps,whaping,whaped
skive,skives,skiving,skived
sun,suns,sunning,sunned
sum,sums,summing,summed
whimper,whimpers,whimpering,whimpered
crust,crusts,crusting,crusted
brief,briefs,briefing,briefed
overload,overloads,overloading,overloaded
boodle,boodles,boodling,boodled
crush,crushes,crushing,crushed
desegregate,desegregates,desegregating,desegregated
intersect,intersects,intersecting,intersected
sup,sups,supping,supped
entwintwine,entwintwines,entwintwining,entwintwined
poohpooh,poohpoohs,poohpoohing,poohpoohed
experimentalize,experimentalizes,experimentalizing,experimentalized
lacquer,lacquers,lacquering,lacquered
espalier,espaliers,espaliering,espaliered
eventuate,eventuates,eventuating,eventuated
wilder
alchemize,alchemizes,alchemizing,alchemized
transfigure,transfigures,transfiguring,transfigured
ventilate,ventilates,ventilating,ventilated
misinterpret,misinterprets,misinterpreting,misinterpreted
out-herod,out-herods,out-heroding,out-heroded,out-heroded
aphorize,aphorizes,aphorizing,aphorized
qualify,qualifies,qualifying,qualified
sophisticate,sophisticates,sophisticating,sophisticated
infringe,infringes,infringing,infringed
supplicate,supplicates,supplicating,supplicated
suckle,suckles,suckling,suckled
demit,demits,demitting,demitted
plonk,plonks,plonking,plonked
cooey,cooeys,cooeying,cooeyed
proceed,proceeds,proceeding,proceeded
disenable,disenables,disenabling,disenabled
faint,faints,fainting,fainted
wield,wields,wielding,wielded
somnambulate,somnambulates,somnambulating,somnambulated
irritate,irritates,irritating,irritated
inlay,inlays,inlaying,inlaid
garnish,garnishes,garnishing,garnished
hurrah,hurrahs,hurrahing,hurrahed
waxen,waxens,waxening,waxened
mercerize,mercerizes,mercerizing,mercerized
flaw,flaws,flawing,flawed
flap,flaps,flapping,flapped
mire,mires,miring,mired
unkennel,unkennels,unkenneling,unkenneled
fley,fleys,fleying,fleyed
re-sort,re-sorts,re-sorting,resorted,re-sorted
flag,flags,flagging,flagged
dialyze,dialyzes,dialyzing,dialyzed
stick,sticks,sticking,stuck
amputate,amputates,amputating,amputated
flam,flams,flamming,flammed
mellow,mellows,mellowing,mellowed
glad,glads,glading,gladed
domineer,domineers,domineering,domineered
berth,berths,berthing,berthed
squish,squishes,squishing,squished
crossbreed,crossbreeds,crossbreeding
conspire,conspires,conspiring,conspired
coerce,coerces,coercing,coerced
arise,arises,arising,arose,arisen
cultivate,cultivates,cultivating,cultivated
allege,alleges,alleging,alleged
court,courts,courting,courted
irrigate,irrigates,irrigating,irrigated
goad,goads,goading,goaded
overbalance,overbalances,overbalancing,overbalanced
mould,moulds,moulding,moulded
sandwich,sandwiches,sandwiching,sandwiched
okay,okays,okaying,okayed
abdicate,abdicates,abdicating,abdicated
acerbate,acerbates,acerbating,acerbated
emulate,emulates,emulating,emulated
embalm,embalms,embalming,embalmed
preoccupy,preoccupies,preoccupying,preoccupied
acierate,acierates,acierating,acierated
disable,disables,disabling,disabled
adventure,adventures,adventuring,adventured
number,numbs,numbing,numbed
capitalize,capitalizes,capitalizing,capitalized
castle,castles,castling,castled
pronominalize,pronominalizes,pronominalizing,pronominalized
palpitate,palpitates,palpitating,palpitated
rationalize,rationalizes,rationalizing,rationalized
postfix,postfixes,postfixing,postfixed
Gnosticize,Gnosticizes,Gnosticizing,Gnosticized,Gnosticized
stash,stashes,stashing,stashed
ricochet,ricochets,ricochetting,ricochetted
recrudesce,recrudesces,recrudescing,recrudesced
shore,shores,shoring,shored
shade,shades,shading,shaded
retaliate,retaliates,retaliating,retaliated
dissatisfy,dissatisfies,dissatisfying,dissatisfied
abseil,abseils,abseiling,abseiled
mission,missions,missioning,missioned
flaunt,flaunts,flaunting,flaunted
reconnect,reconnects,reconnecting,reconnected
flounce,flounces,flouncing,flounced
style,styles,styling,styled
jollify,jollifies,jollifying,jollified
resorb,resorbs,resorbing,resorbed
pray,prays,praying,prayed
wilder,wilders,wildering,wildered
garrotte,garrottes,garrotting,garrotted
constitutionalize,constitutionalizes,constitutionalizing,constitutionalized
might,mightn't
alter,alters,altering,altered
return,returns,returning,returned
belittle,belittles,belittling,belittled
accumulate,accumulates,accumulating,accumulated
slipper,slippers,slippering,slippered
refresh,refreshes,refreshing,refreshed
modge,modges,modging,modged
malfunction,malfunctions,malfunctioning,malfunctioned
shoal,shoals,shoaling,shoaled
formulate,formulates,formulating,formulated
repartition,repartitions,repartitioning,repartitioned
recapitulate,recapitulates,recapitulating,recapitulated
expect,expects,expecting,expected
inflict,inflicts,inflicting,inflicted
chunder,chunders,chundering,chundered
focalize,focalizes,focalizing,focalized
rebound,rebounds,rebounding,rebounded
disquiet,disquiets,disquieting,disquieted
hilt,hilts,hilting,hilted
loll,lolls,lolling,lolled
chaffer,chaffers,chaffering,chaffered
hill,hills,hilling,hilled
breathalyze,breathalyzes,breathalyzing,breathalyzed
silicify,silicifies,silicifying,silicified
gut,guts,gutting,gutted
forgive,forgives,forgiving,forgave,forgiven
powwow,powwows,powwowing,powwowed
disinfect,disinfects,disinfecting,disinfected
teach,teaches,teaching,taught
interiorize,interiorizes,interiorizing,interiorized
shutoff
blister,blisters,blistering,blistered
thread,threads,threading,threaded
stampede,stampedes,stampeding,stampeded
misreport,misreports,misreporting,misreported
threep,threeps,threeping,threeped
prejudice,prejudices,prejudicing,prejudiced
circuit,circuits,circuiting,circuited
debouch,debouches,debouching,debouched
bushel,bushels,bushelling,bushelled
feed,feeds,feeding
dine,dines,dining,dined
feel,feels,feeling,felt
relate,relates,relating,related
fancy,fancies,fancying,fancied
dint,dints,dinting,dinted
notify,notifies,notifying,notified
wench,wenches,wenching,wenched
blank,blanks,blanking,blanked
moan,moans,moaning,moaned
story,stories,storying,storied
script,scripts,scripting,scripted
interact,interacts,interacting,interacted
grime,grimes,griming,grimed
collar,collars,collaring,collared
swarm,swarms,swarming,swarmed
storm,storms,storming,stormed
swarth,swarths,swarthing,swarthed
moat,moats,moating,moated
syrup,syrups,syruping,syruped
embus,embuses,embusing,embused
store,stores,storing,stored
redistribute,redistributes,redistributing,redistributed
fidget,fidgets,fidgeting,fidgeted
rifle,rifles,rifling,rifled
officiate,officiates,officiating,officiated
throttle,throttles,throttling,throttled
denazify,denazifies,denazifying,denazified
double,doubles,doubling,doubled
countercharge,countercharges,countercharging,countercharged
medicate,medicates,medicating,medicated
stall,stalls,stalling,stalled
cuff,cuffs,cuffing,cuffed
parenthesize,parenthesizes,parenthesizing,parenthesized
stale,stales,staling,staled
amass,amasses,amassing,amassed
sectionalize,sectionalizes,sectionalizing,sectionalized
exert,exerts,exerting,exerted
strengthen,strengthens,strengthening,strengthened
redintegrate,redintegrates,redintegrating,redintegrated
ingulf,ingulfs,ingulfing,ingulfed
gall,galls,galling,galled
remodel,remodels,remodeling,remodeled
toughen,toughens,toughening,toughened
humanize,humanizes,humanizing,humanized
over-heat,over-heats,over-heating,overheated,over-heated
recentralize,recentralizes,recentralizing,recentralized
eff,effs,effing,effed
buffer,buffs,buffing,buffed
gill,gills,gilling,gilled
populate,populates,populating,populated
nonsuit,nonsuits,nonsuiting,nonsuited
customize,customizes,customizing,customized
pillage,pillages,pillaging,pillaged
inconvenience,inconveniences,inconveniencing,inconvenienced
reach,reaches,reaching,reached
circumfuse,circumfuses,circumfusing,circumfused
palpate,palpates,palpating,palpated
psychoanalyze,psychoanalyzes,psychoanalyzing,psychoanalyzed
disbar,disbars,disbarring,disbarred
preexist,preexists,preexisting,preexisted
destruct,destructs,destructing,destructed
devalue,devalues,devaluing,devalued
notch,notches,notching,notched
liberate,liberates,liberating,liberated
scaffold,scaffolds,scaffolding,scaffolded
niggle,niggles,niggling,niggled
unclose,uncloses,unclosing,unclosed
barter,barters,bartering,bartered
divulgate,divulgates,divulgating,divulgated
cinchonize,cinchonizes,cinchonizing,cinchonized
uniform,uniforms,uniforming,uniformed
whiffle,whiffles,whiffling,whiffled
aggravate,aggravates,aggravating,aggravated
predecease,predeceases,predeceasing,predeceased
mosey,moseys,moseying,moseyed
frivol,frivols,frivolling,frivolled
betray,betrays,betraying,betrayed
shepherd,shepherds,shepherding,shepherded
hit,hits,hitting,hit
invoke,invokes,invoking,invoked
babble,babbles,babbling,babbled
abscise,abscises,abscising,abscised
affright,affrights,affrighting,affrighted
whistle,whistles,whistling,whistled
cote,cotes,coting,coted
hie,hies,hying,hied
capacitate,capacitates,capacitating,capacitated
unbelt,unbelts,unbelting,unbelted
deaden,deadens,deadening,deadened
reprint,reprints,reprinting,reprinted
banquet,banquets,banqueting,banqueted
investigate,investigates,investigating,investigated
push-start,push-starts,push-starting,push-started,push-started
cringe,cringes,cringing,cringed
tourney,tourneys,tourneying,tourneyed
signify,signifies,signifying,signified
dump,dumps,dumping,dumped
upsurge,upsurges,upsurging,upsurged
resinate,resinates,resinating,resinated
arc,arcs,arcking,arcked
bare,bares,baring,bared
barde,bards,barding,barded
bark,barks,barking,barked
arm,arms,arming,armed
visualize,visualizes,visualizing,visualized
blurt,blurts,blurting,blurted
half-volley,half-volleys,half-volleying,half-volleyed,half-volleyed
misjudge,misjudges,misjudging,misjudged
enwrap,enwraps,enwrapping,enwrapped
cyclostyle,cyclostyles,cyclostyling,cyclostyled
solo,solos,soloing,soloed
derestrict,derestricts,derestricting,derestricted
serialize,serializes,serializing,serialized
imbibe,imbibes,imbibing,imbibed
sole,soles,soling,soled
pinchhit,pinchhits,pinchhitting,pinchhit
outfit,outfits,outfitting,outfitted
york,yorks,yorking,yorked
succeed,succeeds,succeeding,succeeded
franchise,franchises,franchising,franchised
prelude,preludes,preluding,preluded
bronze,bronzes,bronzing,bronzed
license,licenses,licensing,licensed
oversee,oversees,overseeing,oversaw,overseen
interrogate,interrogates,interrogating,interrogated
entertain,entertains,entertaining,entertained
depredate,depredates,depredating,depredated
attorn,attorns,attorning,attorned
sheathe,sheathes,sheathing,sheathed
reside,resides,residing,resided
distress,distresses,distressing,distressed
chaperone,chaperons,chaperoning,chaperoned
whelp,whelps,whelping,whelped
sweep,sweeps,sweeping,swept
harbour,harbours,harbouring,harboured
whelm,whelms,whelming,whelmed
rave,raves,raving,raved
bolster,bolsters,bolstering,bolstered
decline,declines,declining,declined
sieve,sieves,sieving,sieved
dun,duns,dunning,dunned
dibble,dibbles,dibbling,dibbled
overlook,overlooks,overlooking,overlooked
whop,whops,whopping,whopped
stravaig,stravaigs,stravaiging,stravaiged
makeup
dup,dups,dupping,dupped
brick,bricks,bricking,bricked
pi,pies,piing,pied
exculpate,exculpates,exculpating,exculpated
referee,referees,refereeing,refereed
flight,flights,flighting,flighted
keratinize,keratinizes,keratinizing,keratinized
dropout,dropouts,dropouting,dropouted
heel-and-toe,heel-and-toes,heel-and-toeing,heel-and-toed,heel-and-toed
cinch,cinches,cinching,cinched
demand,demands,demanding,demanded
heighten,heightens,heightening,heightened
Australianize,Australianizes,Australianizing,Australianized,Australianized
shove,shoves,shoving,shoved
batch,batches,batching,batched
bodge,bodges,bodging,bodged
corrode,corrodes,corroding,corroded
barricade,barricades,barricading,barricaded
bedizen,bedizens,bedizening,bedizened
putrefy,putrefies,putrefying,putrefied
mordant,mordants,mordanting,mordanted
demob,demobs,demobbing,demobbed
waul,wauls,wauling,wauled
rip,rips,ripping,ripped
rim,rims,rimming,rimmed
impersonate,impersonates,impersonating,impersonated
quail,quails,quailing,quailed
rid,rids,ridding,ridded
anguish,anguishes,anguishing,anguished
chauffeur,chauffeurs,chauffeuring,chauffeured
shirr,shirrs,shirring,shirred
unvoice,unvoices,unvoicing,unvoiced
shire,shires,shiring,shired
stickle,stickles,stickling,stickled
advise,advises,advising,advised
sliver,slivers,slivering,slivered
overcrop,overcrops,overcropping,overcropped
chequer,chequers,chequering,chequered
nitrogenize,nitrogenizes,nitrogenizing,nitrogenized
negotiate,negotiates,negotiating,negotiated
cement,cements,cementing,cemented
impede,impedes,impeding,impeded
birch,birches,birching,birched
brocade,brocades,brocading,brocaded
lower,lowers,lowering,lowered
earmark,earmarks,earmarking,earmarked
cheek,cheeks,cheeking,cheeked
cheep,cheeps,cheeping,cheeped
cheer,cheers,cheering,cheered
edge,edges,edging,edged
reflect,reflects,reflecting,reflected
riffle,riffles,riffling,riffled
cohobate,cohobates,cohobating,cohobated
frizz,frizzes,frizzing,frizzed
squaredance,squaredances,squaredancing,squaredanced
immingle,immingles,immingling,immingled
endeavour,endeavours,endeavouring,endeavoured
knot,knots,knotting,knotted
prorate,prorates,prorating,prorated
foreshorten,foreshortens,foreshortening,foreshortened
predetermine,predetermines,predetermining,predetermined
dryclean,drycleans,drycleaning,drycleaned
reinstate,reinstates,reinstating,reinstated
vindicate,vindicates,vindicating,vindicated
advocate,advocates,advocating,advocated
conscript,conscripts,conscripting,conscripted
awaken,awakens,awakening,awakened
rotate,rotates,rotating,rotated
confront,confronts,confronting,confronted
ignore,ignores,ignoring,ignored
moralize,moralizes,moralizing,moralized
distrust,distrusts,distrusting,distrusted
entice,entices,enticing,enticed
cohabit,cohabits,cohabiting,cohabited
transmute,transmutes,transmuting,transmuted
hallmark,hallmarks,hallmarking,hallmarked
embroil,embroils,embroiling,embroiled
emanate,emanates,emanating,emanated
incriminate,incriminates,incriminating,incriminated
litter,litters,littering,littered
uppercut,uppercuts,uppercutting,uppercut
clown,clowns,clowning,clowned
vacate,vacates,vacating,vacated
rattoon,rattoons,ratooning,ratooned
modernize,modernizes,modernizing,modernized
retry,retries,retrying,retried
debrief,debriefs,debriefing,debriefed
prop,props,propping,propped
inoculate,inoculates,inoculating,inoculated
prog,progs,progging,progged
prod,prods,prodding,prodded
shend,shends,shending,shent
roughcast,roughcasts,roughcasting,roughcast
Sanforize,Sanforizes,Sanforizing,Sanforized,Sanforized
tinker,tinkers,tinkering,tinkered
metallize,metallizes,metallizing,metallized
caseate,caseates,caseating,caseated
anagrammatize,anagrammatizes,anagrammatizing,anagrammatized
row,rows,rowing,rowed
prove,proves,proving,proved,proven
vesture,vestures,vesturing,vestured
range,ranges,ranging,ranged
apperceive,apperceives,apperceiving,apperceived
wanna,wannas,wannaing,wannaed
degrease,degreases,degreasing,degreased
underrate,underrates,underrating,underrated
curtsy,curtsies,curtsying,curtsied
numerate,numerates,numerating,numerated
canal,canals,canalling,canalled
gouge,gouges,gouging,gouged
scrunch,scrunches,scrunching,scrunched
acquiesce,acquiesces,acquiescing,acquiesced
question,questions,questioning,questioned
deepfreeze,deepfreezes,deepfreezing,deepfrozen
fast,fasts,fasting,fasted
fash,fashes,fashing,fashed
etch,etches,etching,etched
sloganeer,sloganeers,sloganeering,sloganeered
counterpoise,counterpoises,counterpoising,counterpoised
plunge,plunges,plunging,plunged
crank,cranks,cranking,cranked
usurp,usurps,usurping,usurped
upright,uprights,uprighting,uprighted
crane,cranes,craning,craned
supercool,supercools,supercooling,supercooled
showcase,showcases,showcasing,showcased
mystify,mystifies,mystifying,mystified
hush,hushes,hushing,hushed
consist,consists,consisting,consisted
seize,seizes,seizing,seized
elide,elides,eliding,elided
redress,redresses,redressing,redressed
highlight,highlights,highlighting,highlighted
estivate,estivates,estivating,estivated
desorb,desorbs,desorbing,desorbed
steepen,steepens,steepening,steepened
freak,freaks,freaking,freaked
sublet,sublets,subletting,sublet
photomap,photomaps,photomapping,photomapped
rally,rallies,rallying,rallied
faceoff,facesoff,facingoff,facedoff
peach,peaches,peaching,peached
peace,peaces,peacing,peaced
intwine,intwines,intwining,intwined
nick,nicks,nicking,nicked
swathe,swathes
disenchant,disenchants,disenchanting,disenchanted
caparison,caparisons,caparisoning,caparisoned
ferment,ferments,fermenting,fermented
buddle,buddles,buddling,buddled
mock,mocks,mocking,mocked
teasel,teasels,teaselling,teaselled
chirm,chirms,chirming,chirmed
inflame,inflames,inflaming,inflamed
chirre,chirrs,chirring,chirred
puncture,punctures,puncturing,punctured
assibilate,assibilates,assibilating,assibilated
wrinkle,wrinkles,wrinkling,wrinkled
sightsee,sightsees,sightseeing,sightsaw,sightseen
relaunch,relaunches,relaunching,relaunched
agist,agists,agisting,agisted
skydive,skydives,skydiving,skydived
transilluminate,transilluminates,transilluminating,transilluminated
liquefy,liquefies,liquefying,liquefied
remit,remits,remitting,remitted
